years,Age group,Cause of death (ICD-10),VALUE
2013,90 years and over,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",70
2014,90 years and over,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",81
2015,90 years and over,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",73
2016,90 years and over,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",95
2017,90 years and over,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",100
2018,90 years and over,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",111
2000,90 years and over,Malignant neoplasms of digestive organs [C15-C26],972
2001,90 years and over,Malignant neoplasms of digestive organs [C15-C26],993
2002,90 years and over,Malignant neoplasms of digestive organs [C15-C26],989
2003,90 years and over,Malignant neoplasms of digestive organs [C15-C26],1087
2004,90 years and over,Malignant neoplasms of digestive organs [C15-C26],1160
2005,90 years and over,Malignant neoplasms of digestive organs [C15-C26],1222
2006,90 years and over,Malignant neoplasms of digestive organs [C15-C26],1121
2007,90 years and over,Malignant neoplasms of digestive organs [C15-C26],1276
2008,90 years and over,Malignant neoplasms of digestive organs [C15-C26],1293
2009,90 years and over,Malignant neoplasms of digestive organs [C15-C26],1324
2010,90 years and over,Malignant neoplasms of digestive organs [C15-C26],1344
2011,90 years and over,Malignant neoplasms of digestive organs [C15-C26],1536
2012,90 years and over,Malignant neoplasms of digestive organs [C15-C26],1639
2013,90 years and over,Malignant neoplasms of digestive organs [C15-C26],1791
2014,90 years and over,Malignant neoplasms of digestive organs [C15-C26],1873
2015,90 years and over,Malignant neoplasms of digestive organs [C15-C26],1906
2016,90 years and over,Malignant neoplasms of digestive organs [C15-C26],2035
2017,90 years and over,Malignant neoplasms of digestive organs [C15-C26],2046
2018,90 years and over,Malignant neoplasms of digestive organs [C15-C26],2119
2000,90 years and over,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],349
2001,90 years and over,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],359
2002,90 years and over,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],416
2003,90 years and over,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],429
2004,90 years and over,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],467
2005,90 years and over,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],433
2006,90 years and over,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],531
2007,90 years and over,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],574
2008,90 years and over,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],575
2009,90 years and over,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],631
2010,90 years and over,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],657
2011,90 years and over,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],714
2012,90 years and over,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],792
2013,90 years and over,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],866
2014,90 years and over,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],929
2015,90 years and over,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],983
2016,90 years and over,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1005
2017,90 years and over,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1068
2018,90 years and over,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1166
2000,90 years and over,Malignant neoplasms of bone and articular cartilage [C40-C41],6
2001,90 years and over,Malignant neoplasms of bone and articular cartilage [C40-C41],6
2002,90 years and over,Malignant neoplasms of bone and articular cartilage [C40-C41],3
2003,90 years and over,Malignant neoplasms of bone and articular cartilage [C40-C41],4
2004,90 years and over,Malignant neoplasms of bone and articular cartilage [C40-C41],4
2005,90 years and over,Malignant neoplasms of bone and articular cartilage [C40-C41],3
2006,90 years and over,Malignant neoplasms of bone and articular cartilage [C40-C41],5
2007,90 years and over,Malignant neoplasms of bone and articular cartilage [C40-C41],9
2008,90 years and over,Malignant neoplasms of bone and articular cartilage [C40-C41],7
2009,90 years and over,Malignant neoplasms of bone and articular cartilage [C40-C41],6
2010,90 years and over,Malignant neoplasms of bone and articular cartilage [C40-C41],7
2011,90 years and over,Malignant neoplasms of bone and articular cartilage [C40-C41],8
2012,90 years and over,Malignant neoplasms of bone and articular cartilage [C40-C41],10
2013,90 years and over,Malignant neoplasms of bone and articular cartilage [C40-C41],9
2014,90 years and over,Malignant neoplasms of bone and articular cartilage [C40-C41],10
2015,90 years and over,Malignant neoplasms of bone and articular cartilage [C40-C41],15
2016,90 years and over,Malignant neoplasms of bone and articular cartilage [C40-C41],7
2017,90 years and over,Malignant neoplasms of bone and articular cartilage [C40-C41],11
2018,90 years and over,Malignant neoplasms of bone and articular cartilage [C40-C41],12
2000,90 years and over,Melanoma and other malignant neoplasms of skin [C43-C44],61
2001,90 years and over,Melanoma and other malignant neoplasms of skin [C43-C44],65
2002,90 years and over,Melanoma and other malignant neoplasms of skin [C43-C44],64
2003,90 years and over,Melanoma and other malignant neoplasms of skin [C43-C44],67
2004,90 years and over,Melanoma and other malignant neoplasms of skin [C43-C44],59
2005,90 years and over,Melanoma and other malignant neoplasms of skin [C43-C44],85
2006,90 years and over,Melanoma and other malignant neoplasms of skin [C43-C44],85
2007,90 years and over,Melanoma and other malignant neoplasms of skin [C43-C44],107
2008,90 years and over,Melanoma and other malignant neoplasms of skin [C43-C44],106
2009,90 years and over,Melanoma and other malignant neoplasms of skin [C43-C44],112
2010,90 years and over,Melanoma and other malignant neoplasms of skin [C43-C44],111
2011,90 years and over,Melanoma and other malignant neoplasms of skin [C43-C44],122
2012,90 years and over,Melanoma and other malignant neoplasms of skin [C43-C44],137
2013,90 years and over,Melanoma and other malignant neoplasms of skin [C43-C44],156
2014,90 years and over,Melanoma and other malignant neoplasms of skin [C43-C44],153
2015,90 years and over,Melanoma and other malignant neoplasms of skin [C43-C44],194
2016,90 years and over,Melanoma and other malignant neoplasms of skin [C43-C44],205
2017,90 years and over,Melanoma and other malignant neoplasms of skin [C43-C44],229
2018,90 years and over,Melanoma and other malignant neoplasms of skin [C43-C44],220
2000,90 years and over,Malignant neoplasms of mesothelial and soft tissue [C45-C49],13
2001,90 years and over,Malignant neoplasms of mesothelial and soft tissue [C45-C49],15
2002,90 years and over,Malignant neoplasms of mesothelial and soft tissue [C45-C49],20
2003,90 years and over,Malignant neoplasms of mesothelial and soft tissue [C45-C49],20
2004,90 years and over,Malignant neoplasms of mesothelial and soft tissue [C45-C49],23
2005,90 years and over,Malignant neoplasms of mesothelial and soft tissue [C45-C49],25
2006,90 years and over,Malignant neoplasms of mesothelial and soft tissue [C45-C49],24
2007,90 years and over,Malignant neoplasms of mesothelial and soft tissue [C45-C49],25
2008,90 years and over,Malignant neoplasms of mesothelial and soft tissue [C45-C49],31
2009,90 years and over,Malignant neoplasms of mesothelial and soft tissue [C45-C49],28
2010,90 years and over,Malignant neoplasms of mesothelial and soft tissue [C45-C49],24
2011,90 years and over,Malignant neoplasms of mesothelial and soft tissue [C45-C49],43
2012,90 years and over,Malignant neoplasms of mesothelial and soft tissue [C45-C49],49
2013,90 years and over,Malignant neoplasms of mesothelial and soft tissue [C45-C49],69
2014,90 years and over,Malignant neoplasms of mesothelial and soft tissue [C45-C49],54
2015,90 years and over,Malignant neoplasms of mesothelial and soft tissue [C45-C49],49
2016,90 years and over,Malignant neoplasms of mesothelial and soft tissue [C45-C49],56
2017,90 years and over,Malignant neoplasms of mesothelial and soft tissue [C45-C49],75
2018,90 years and over,Malignant neoplasms of mesothelial and soft tissue [C45-C49],75
2000,90 years and over,Malignant neoplasm of breast [C50],310
2001,90 years and over,Malignant neoplasm of breast [C50],287
2002,90 years and over,Malignant neoplasm of breast [C50],331
2003,90 years and over,Malignant neoplasm of breast [C50],403
2004,90 years and over,Malignant neoplasm of breast [C50],355
2005,90 years and over,Malignant neoplasm of breast [C50],373
2006,90 years and over,Malignant neoplasm of breast [C50],354
2007,90 years and over,Malignant neoplasm of breast [C50],412
2008,90 years and over,Malignant neoplasm of breast [C50],378
2009,90 years and over,Malignant neoplasm of breast [C50],383
2010,90 years and over,Malignant neoplasm of breast [C50],440
2011,90 years and over,Malignant neoplasm of breast [C50],440
2012,90 years and over,Malignant neoplasm of breast [C50],481
2013,90 years and over,Malignant neoplasm of breast [C50],538
2014,90 years and over,Malignant neoplasm of breast [C50],554
2015,90 years and over,Malignant neoplasm of breast [C50],555
2016,90 years and over,Malignant neoplasm of breast [C50],593
2017,90 years and over,Malignant neoplasm of breast [C50],598
2018,90 years and over,Malignant neoplasm of breast [C50],622
2000,90 years and over,Malignant neoplasms of female genital organs [C51-C58],146
2001,90 years and over,Malignant neoplasms of female genital organs [C51-C58],134
2002,90 years and over,Malignant neoplasms of female genital organs [C51-C58],132
2003,90 years and over,Malignant neoplasms of female genital organs [C51-C58],136
2004,90 years and over,Malignant neoplasms of female genital organs [C51-C58],148
2005,90 years and over,Malignant neoplasms of female genital organs [C51-C58],133
2006,90 years and over,Malignant neoplasms of female genital organs [C51-C58],149
2007,90 years and over,Malignant neoplasms of female genital organs [C51-C58],167
2008,90 years and over,Malignant neoplasms of female genital organs [C51-C58],166
2009,90 years and over,Malignant neoplasms of female genital organs [C51-C58],190
2010,90 years and over,Malignant neoplasms of female genital organs [C51-C58],215
2011,90 years and over,Malignant neoplasms of female genital organs [C51-C58],196
2012,90 years and over,Malignant neoplasms of female genital organs [C51-C58],238
2013,90 years and over,Malignant neoplasms of female genital organs [C51-C58],211
2014,90 years and over,Malignant neoplasms of female genital organs [C51-C58],252
2015,90 years and over,Malignant neoplasms of female genital organs [C51-C58],241
2016,90 years and over,Malignant neoplasms of female genital organs [C51-C58],242
2017,90 years and over,Malignant neoplasms of female genital organs [C51-C58],259
2018,90 years and over,Malignant neoplasms of female genital organs [C51-C58],255
2000,90 years and over,Malignant neoplasms of male genital organs [C60-C63],327
2001,90 years and over,Malignant neoplasms of male genital organs [C60-C63],364
2002,90 years and over,Malignant neoplasms of male genital organs [C60-C63],370
2003,90 years and over,Malignant neoplasms of male genital organs [C60-C63],417
2004,90 years and over,Malignant neoplasms of male genital organs [C60-C63],407
2005,90 years and over,Malignant neoplasms of male genital organs [C60-C63],390
2006,90 years and over,Malignant neoplasms of male genital organs [C60-C63],443
2007,90 years and over,Malignant neoplasms of male genital organs [C60-C63],458
2008,90 years and over,Malignant neoplasms of male genital organs [C60-C63],444
2009,90 years and over,Malignant neoplasms of male genital organs [C60-C63],450
2010,90 years and over,Malignant neoplasms of male genital organs [C60-C63],507
2011,90 years and over,Malignant neoplasms of male genital organs [C60-C63],515
2012,90 years and over,Malignant neoplasms of male genital organs [C60-C63],579
2013,90 years and over,Malignant neoplasms of male genital organs [C60-C63],610
2014,90 years and over,Malignant neoplasms of male genital organs [C60-C63],665
2015,90 years and over,Malignant neoplasms of male genital organs [C60-C63],684
2016,90 years and over,Malignant neoplasms of male genital organs [C60-C63],717
2017,90 years and over,Malignant neoplasms of male genital organs [C60-C63],771
2018,90 years and over,Malignant neoplasms of male genital organs [C60-C63],720
2000,90 years and over,Malignant neoplasms of urinary tract [C64-C68],185
2001,90 years and over,Malignant neoplasms of urinary tract [C64-C68],210
2002,90 years and over,Malignant neoplasms of urinary tract [C64-C68],209
2003,90 years and over,Malignant neoplasms of urinary tract [C64-C68],209
2004,90 years and over,Malignant neoplasms of urinary tract [C64-C68],267
2005,90 years and over,Malignant neoplasms of urinary tract [C64-C68],263
2006,90 years and over,Malignant neoplasms of urinary tract [C64-C68],292
2007,90 years and over,Malignant neoplasms of urinary tract [C64-C68],295
2008,90 years and over,Malignant neoplasms of urinary tract [C64-C68],315
2009,90 years and over,Malignant neoplasms of urinary tract [C64-C68],333
2010,90 years and over,Malignant neoplasms of urinary tract [C64-C68],388
2011,90 years and over,Malignant neoplasms of urinary tract [C64-C68],337
2012,90 years and over,Malignant neoplasms of urinary tract [C64-C68],395
2013,90 years and over,Malignant neoplasms of urinary tract [C64-C68],423
2014,90 years and over,Malignant neoplasms of urinary tract [C64-C68],477
2015,90 years and over,Malignant neoplasms of urinary tract [C64-C68],491
2016,90 years and over,Malignant neoplasms of urinary tract [C64-C68],568
2017,90 years and over,Malignant neoplasms of urinary tract [C64-C68],567
2018,90 years and over,Malignant neoplasms of urinary tract [C64-C68],595
2000,90 years and over,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",21
2001,90 years and over,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",18
2002,90 years and over,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",22
2003,90 years and over,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",23
2004,90 years and over,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",19
2005,90 years and over,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",16
